Country,Remaining population,Emmigrated population,Total Population
Afghanistan,19084684,5400916,24485600
Albania,2052156,1142844,3195000
Algeria,34141498,1836502,35978000
Angola,18374420,618288,18992708
Argentina,39575108,943843,40518951
Armenia,2304962,944520,3249482
Aruba,84863,16621,101484
Australia,21781642,518158,22299800
Austria,7860056,515234,8375290
Azerbaijan,7867238,1130348,8997586
Bahamas,310693,42965,353658
Bahrain,1177850,56721,1234571
Bangladesh,154164360,6831282,160995642
Barbados,174421,101879,276300
Belarus,8010296,1469882,9480178
Belgium,10324112,515793,10839905
Belize,249872,63099,312971
Benin,8576818,634923,9211741
Bhutan,644431,51391,695822
Bolivia,9602146,824008,10426154
Bosnia and Herzegovina,2250616,1593430,3844046
Botswana,1974013,55294,2029307
Brazil,206343297,1504231,207847528
Brunei,369290,45110,414400
Bulgaria,6384085,1179625,7563710
Burkina Faso,14212409,1518568,15730977
Burundi,8058883,459979,8518862
Cambodia,13228207,1074572,14302779
Cameroon,19609378,348974,19958352
Canada,32845200,1263552,34108752
Central African Republic,3819721,686224,4505945
Chad,11523635,191269,11714904
Chile,16476255,618015,17094270
China,1365808126,10240817,1376048943
Colombia,42809517,2698688,45508205
Comoros,553251,121749,675000
Congo,3553849,204829,3758678
Costa Rica,4425302,138237,4563539
Cote d'Ivoire,20514366,1056380,21570746
Croatia,3619505,806242,4425747
Cuba,9735334,1505827,11241161
Curacao,135941,6239,142180
Cyprus,936092,166585,1102677
Czechia,9687037,819776,10506813
Democratic Republic of Congo,74672322,1572222,76244544
Denmark,5297906,236832,5534738
Djibouti,862084,16969,879053
Dominican Republic,8429769,1454602,9884371
Ecuador,13352725,1130774,14483499
Egypt,80331931,3151069,83483000
El Salvador,4681231,1512895,6194126
Equatorial Guinea,1196053,116947,1313000
Eritrea,4599237,624757,5223994
Estonia,1151018,189109,1340127
Eswatini,1009270,46236,1055506
Ethiopia,98548254,842496,99390750
Fiji,642132,208568,850700
Finland,5069204,282223,5351427
France,62276079,2119266,64395345
French Guiana,227706,4517,232223
French Polynesia,265022,1978,267000
Gabon,1458191,43075,1501266
The Gambia,1653769,96963,1750732
Georgia,3607460,828931,4436391
Germany,75097722,3630278,78728000
Ghana,23331178,892253,24223431
Greece,10484999,820119,11305118
Grenada,40498,69055,109553
Guam,178733,2132,180865
Guatemala,13243551,1118115,14361666
Guinea,9830344,493411,10323755
Guinea-Bissau,1549229,98151,1647380
Guyana,280184,481258,761442
Haiti,8387958,1467042,9855000
Honduras,7316135,729855,8045990
Hong Kong,6066911,957289,7024200
Hungary,9413437,600887,10014324
Iceland,280624,37006,317630
India,1295164870,15885657,1311050527
Indonesia,253498720,4065095,257563815
Iran,77953655,1155617,79109272
Iraq,30805387,1675613,32481000
Ireland,3731215,736639,4467854
Israel,7292274,331326,7623600
Italy,57677667,2662661,60340328
Jamaica,1669604,1031596,2701200
Japan,125809073,764408,126573481
Jordan,5406168,706832,6113000
Kazakhstan,12556424,3885576,16442000
Kenya,40382253,480647,40862900
Kiribati,96708,4127,100835
Kuwait,3371403,195034,3566437
Kyrgyzstan,4675459,742841,5418300
Laos,4942021,1288179,6230200
