Country Name,GDP growth ,unemployment rate,Inflation,homicides
Aruba,3.54362966,6.490041203,0.4747635973,1.9
Afghanistan,1.45131466,4.6267372,-0.6617091647,9.783921782
Angola,0.9399999994,17.19000053,9.150372075,4.8
Albania,2.218726375,,3.501208355,2.214131417
Andorra,1.434140395,10.96590054,,2.6
United Arab Emirates,5.060334864,7.520999908,4.069966084,0.6477455863
Argentina,2.731159828,18.26000023,,6.586123277
Armenia,3.199999999,,3.731691193,2.563612629
American Samoa,3.149606299,,,7.167688062
Antigua and Barbuda,3.825293099,6.050000191,0.9689934588,11.1
Australia,2.172204753,5.71999979,1.508366722,0.9861067998
Austria,1.014501586,4.960000038,0.8965633353,0.5300353153
Azerbaijan,1.093975916,1.600000024,4.027685737,2.192722427
Burundi,-3.90000008,8.479999542,5.544688913,4.537386391
Belgium,2.041459009,2.006999969,0.5614291528,1.7
Benin,1.77815106,4.321000099,0.2187859235,1.1
Burkina Faso,3.921228794,4.366000175,0.7248389811,1.3
Bangladesh,6.552639879,9.140000343,6.19428023,2.582296097
Bulgaria,3.428054914,1.202000022,-0.104633261,1.75006344
Bahrain,2.485378558,12,1.848627424,0.5831528597
Bahamas,0.9968008463,27.69000053,1.861483029,39.01656868
Bosnia and Herzegovina,3.089162619,5.840000153,-1.036023034,1.662116744
Belarus,-3.829570558,7.579999924,13.53448976,3.453600559
Belize,2.894945154,,,32.97074747
Bermuda,0.7755296996,3.109999895,,6.279927781
Bolivia,4.85718718,8.430000305,4.059610411,6.17310528
Brazil,-3.545763393,9.800000191,9.029901024,28.45576342
Barbados,2.472620346,7.784999847,-1.112789925,10.86472714
Brunei Darussalam,-0.3923837495,2.450000048,-0.4883474207,0.5
Bhutan,6.642232105,20.57099915,4.548143951,1.648612075
Botswana,-5.717682557,5.605999947,3.062031696,15.2
Canada,0.6591768636,7.816835981,1.125241361,1.693190167
Switzerland,1.657768711,8.215000153,-1.143908672,0.6870139301
Chile,2.1519425,4.630000114,4.348773532,3.394668123
China,7.041328879,3.148999929,1.437023809,0.6539441975
Cote d'Ivoire,7.194090645,3.551000118,1.251499548,
Cameroon,5.666952991,4.46600008,2.685982772,1.154586912
Democratic Republic of Congo,6.91616712,20.4470005,0.7441989948,13.55
Congo,-3.550581765,8.300000191,3.169097968,13
Colombia,2.955901375,8.13599968,4.990234275,26.89777061
Comoros,1.147350763,11.80000019,,
Cabo Verde,1.006863707,9,0.131187999,8.766246141
Costa Rica,3.652080968,10.55252863,0.8019820051,11.48973608
Cuba,4.438141959,,,5.465891293
Curacao,0.2909486555,,-0.4765420498,
Cayman Islands,2.833122427,14.90999985,-2.347527702,
Cyprus,3.383079712,5.050000191,-2.096997691,1.292004131
Czechia,5.388380838,4.619999886,0.3093645485,0.8300798292
Germany,1.491931528,26.32500076,0.5144205395,0.8338691636
Djibouti,7.526108919,,-0.847389734,
Dominica,-2.731503063,6.28000021,-0.8438269846,12.64488936
